pivot_sample,confirmation_sample,elapsed_seconds,timestampUs,x,y,angle,incoming_pixels,outgoing_pixels,incoming_speed,outgoing_speed,rejected_by
401,402,9.09966,1789749913665679,23.016048431396484,45.46451950073242,5.4189857371908525,15.990998181595225,16.46817498418883,931.1709183948772,906.189125856426,"outside_board,angle"
402,403,9.117841,1789749913683852,38.906314849853516,49.78889465332031,3.4040420243867304,16.46817498418883,16.151693920417827,906.189125856426,1271.6867900494312,"outside_board,angle"
403,404,9.130551,1789749913696553,54.211875915527344,54.948062896728516,7.198648153543621,16.151693920417827,16.051141711908897,1271.6867900494312,863.8470325552391,"outside_board,angle"
404,405,9.149146,1789749913715134,68.6597900390625,61.940696716308594,3.4465519289461364,16.051141711908897,14.005189940748911,863.8470325552391,790.8962017590304,"outside_board,angle"
405,406,9.166835,1789749913732842,80.87651062011719,68.7888412475586,3.2351159745373863,14.005189940748911,13.698368416759328,790.8962017590304,673.1384971380505,angle
406,407,9.187195,1789749913753192,92.42855072021484,76.1506118774414,4.0996435989121185,13.698368416759328,12.133000490271504,673.1384971380505,1057.8952384925892,angle
407,408,9.198646,1789749913764661,102.16815185546875,83.38593292236328,3.7406686673842637,12.133000490271504,11.611556122982616,1057.8952384925892,623.5396908485993,angle
408,409,9.217279,1789749913783283,111.01756286621094,90.90365600585938,22.774458121739613,11.611556122982616,6.059023386321733,623.5396908485993,353.33702975983977,angle
409,410,9.234419,1789749913800431,113.7567138671875,96.30817413330078,55.28886213497367,6.059023386321733,4.944542459631486,353.33702975983977,398.52844842681435,
412,413,9.284188,1789749913850161,100.1754379272461,110.5479965209961,5.730526605899652,8.090667678744948,9.055630712418564,462.0070625139875,629.3002579860016,"cooldown,angle"
413,414,9.298552,1789749913864551,93.91751861572266,117.09344482421875,6.965017169798011,9.055630712418564,9.450753638516192,629.3002579860016,511.54282211183715,"cooldown,angle"
414,415,9.317011,1789749913883026,88.26309967041016,124.66604614257812,6.162622636830538,9.450753638516192,11.080701886188352,511.54282211183715,552.8740587859671,"cooldown,angle"
